Device,TPR,FPR,ACC,PPV,recall,F1
01SamsungGalaxyS3,0.6085972850678733,0.03304370721432333,0.9295990566037736,0.6818757921419518,0.6085972850678733,0.6431560071727435
02HuaweiP9,0.7419354838709677,0.059566905811887054,0.919752358490566,0.5916064981949458,0.7419354838709677,0.6582977655033894
03AppleiPhone5c,0.5142428785607196,0.030526046333034684,0.9336674528301887,0.5898538263112639,0.5142428785607196,0.5494593512214657
04AppleiPhone6,0.6218938885157824,0.027600025854825155,0.941627358490566,0.6844050258684405,0.6218938885157824,0.6516537649542575
05HuaweiP9Lite,0.5799886941775014,0.03587650582581792,0.9240566037735849,0.6530872056015277,0.5799886941775014,0.61437125748503
06AppleiPhone6Plus,0.7392533936651584,0.08833596629805161,0.893691037735849,0.4933937334843337,0.7392533936651584,0.5918043921213494
07SamsungGalaxyS5,0.7263990955342001,0.025607267460996643,0.9485259433962264,0.7676224611708483,0.7263990955342001,0.7464420563462097
08AppleiPhone5,0.46912181303116146,0.04126357354392892,0.9077830188679246,0.5690721649484536,0.46912181303116146,0.5142857142857142
09HuaweiP8,0.5901360544217688,0.02072913924717031,0.9387971698113208,0.7676991150442478,0.5901360544217688,0.6673076923076924
10SamsungGalaxyS4Mini,0.8421052631578947,0.030079641940367274,0.9566037735849057,0.765038560411311,0.8421052631578947,0.8017241379310345
Total,0.6470518867924528,0.0392164570230608,0.9294103773584905,0.6470518867924528,0.6470518867924528,0.6470518867924528
