Video Name,Total Frames,Correct Frames
04AppleiPhone5cVflatWAmove0002P-number,45,41
04AppleiPhone5cVflatWAstill0001P-number,45,45
04AppleiPhone5cVflatYTmove0002P-number,225,143
04AppleiPhone5cVflatYTstill0001P-number,223,223
04AppleiPhone5cVflatmove0002P-number,225,154
04AppleiPhone5cVflatstill0001P-number,224,224
04AppleiPhone5cVindoorWAmove0001P-number,41,13
04AppleiPhone5cVindoorWAmove0002P-number,41,23
04AppleiPhone5cVindoorYTmove0001P-number,225,119
04AppleiPhone5cVindoorYTmove0002P-number,224,128
04AppleiPhone5cVindoormove0001P-number,225,96
04AppleiPhone5cVindoormove0002P-number,224,104
04AppleiPhone5cVoutdoorWApanrot0002P-number,32,11
04AppleiPhone5cVoutdoorpanrot0002P-number,225,139
08AppleiPhone5cVflatWAmove0001P-number,44,44
08AppleiPhone5cVflatWAmove0003P-number,44,44
08AppleiPhone5cVflatYTmove0001P-number,224,224
08AppleiPhone5cVflatYTmove0003P-number,225,225
08AppleiPhone5cVflatmove0001P-number,224,224
08AppleiPhone5cVflatmove0003P-number,224,224
08AppleiPhone5cVindoorWAmove0002P-number,45,41
08AppleiPhone5cVindoorWApanrot0002P-number,40,25
08AppleiPhone5cVindoorYTmove0002P-number,210,111
08AppleiPhone5cVindoorYTpanrot0002P-number,210,114
08AppleiPhone5cVindoormove0002P-number,225,132
08AppleiPhone5cVindoorpanrot0002P-number,225,128
08AppleiPhone5cVoutdoorWApanrot0001P-number,43,23
08AppleiPhone5cVoutdoorWApanrot0002P-number,41,34
08AppleiPhone5cVoutdoorYTpanrot0001P-number,209,113
08AppleiPhone5cVoutdoorYTpanrot0002P-number,209,158
08AppleiPhone5cVoutdoorpanrot0001P-number,224,99
08AppleiPhone5cVoutdoorpanrot0002P-number,225,156
11AppleiPhone5cVflatWAstill0001P-number,35,35
11AppleiPhone5cVflatWAstill0002P-number,45,45
11AppleiPhone5cVflatYTstill0001P-number,225,224
11AppleiPhone5cVflatYTstill0002P-number,224,209
11AppleiPhone5cVflatstill0001P-number,224,224
11AppleiPhone5cVflatstill0002P-number,224,214
11AppleiPhone5cVindoorWAstill0002P-number,42,14
11AppleiPhone5cVindoorYTstill0002P-number,225,155
11AppleiPhone5cVindoorstill0002P-number,225,139
11AppleiPhone5cVoutdoorWApanrot0001P-number,38,29
11AppleiPhone5cVoutdoorYTpanrot0001P-number,225,156
