Device,TPR,FPR,ACC
01SamsungGalaxyS3,0.6899696048632219,0.02783964365256125,0.9454205069124424
02HuaweiP9,0.6266866566716641,0.03504859009080771,0.9324596774193549
03AppleiPhone5c,0.7,0.032625910674691165,0.9431163594470046
04AppleiPhone6,0.6611796982167353,0.027674979887369267,0.939660138248848
05HuaweiP9Lite,0.5985815602836879,0.03189613720147459,0.9305875576036866
06AppleiPhone6Plus,0.73989898989899,0.06193107932379714,0.9154665898617511
07SamsungGalaxyS5,0.8002793296089385,0.012524084778420038,0.9681739631336406
08AppleiPhone5,0.5212201591511937,0.03974151857835218,0.912586405529954
09HuaweiP8,0.6217162872154116,0.050054919190334224,0.9229550691244239
10SamsungGalaxyS4Mini,0.8185595567867036,0.03744776599164256,0.9475806451612904
Total,0.6790034562211982,0.03566628264208909,0.9358006912442396
